marque,annee,prix,adresse,proprietaire
Ford Fusion,Année: 2013,30 000 F CFA,Sicap Liberté,KINGCARS  Service
Ford Explorer,Année: 2012,40 000 F CFA,Sicap Liberté,KINGCARS  Service
Hyundai Elantra,Année: 2017,35 000 F CFA,Yoff,Abdia Sn
Dodge Journey,Année: 2012,30 000 F CFA,Yoff,A vos  services
Hyundai Elantra,Année: 2016,20 000 F CFA,Yoff,A vos  services
Mazda cx5,Année: 2013,30 000 F CFA,Yoff,A vos  services
Chevrolet Equinox,Année: 2012,30 000 F CFA,Yoff,A vos  services
Dodge Dart,Année: 2013,20 000 F CFA,Yoff,A vos  services
Citroen C3,Année: 2019,25 000 F CFA,Yoff,A vos  services
Mazda Cx-5,Année: 2013,30 000 F CFA,Yoff,A vos  services
Nissan Juke,Année: 2012,25 000 F CFA,Yoff,A vos  services
Ford Fusion,Année: 2017,25 000 F CFA,Ouest Foire,Logivit  Express
Ford Fusion,Année: 2017,30 000 F CFA,Point-E,Ousmane diagne
Hyundai Sonata,Année: 2014,25 000 F CFA,Médina,Kena Impact  Groupes
Mercedes Sprinter,Année: 2016,15 000 F CFA,Hann Bel-Air,Kena Impact  Groupes
Ford Transit,Année: 2016,60 000 F CFA,Médina,Kena Impact  Groupes
Ford ESCAPE-SE,Année: 2013,40 000 F CFA,Sicap Liberté,KINGCARS  Service
Peugeot 308,Année: 2012,25 000 F CFA,Sicap Liberté,KINGCARS  Service
Toyota Hiace,Année: 2020,NC,Mermoz Sacré-Coeur,Mapauto sn
Mercedes Viano,Année: 2010,NC,Mermoz Sacré-Coeur,Mapauto sn
Peugeot 508,Année: 2016,NC,Mermoz Sacré-Coeur,Mapauto sn
Renault Master,Année: 2017,NC,Yoff,A vos  services
Nissan Juke,Année: 2012,25 000 F CFA,Yoff,A vos  services
Volkswagen Jetta,Année: 2016,20 000 F CFA,Plateau,Senegal TCS  ventes et locations
Land Rover,Année: 2020,150 000 F CFA,Mermoz Sacré-Coeur,Mapauto sn
Mercedes Classe,Année: 2018,170 000 F CFA,Mermoz Sacré-Coeur,Mapauto sn
Mercedes Viano,Année: 2010,NC,Mermoz Sacré-Coeur,Mapauto sn
Nissan ROGUE,Année: 2016,40 000 F CFA,Hann Bel-Air,PAPA .
Ford Flex-limited,Année: 2019,60 000 F CFA,Hann Bel-Air,PAPA .
Ford ESCAPE-SE,Année: 2014,40 000 F CFA,Ouest Foire,Optimus Debugger
Ford ESCAPE-SE,Année: 2017,35 000 F CFA,Grand-Yoff,Transcar via  Sénégal
Ford Edge,Année: 2013,35 000 F CFA,Mermoz Sacré-Coeur,A-T Auto
Volkswagen Jetta,Année: 2018,20 000 F CFA,Grand-Dakar,A vos  services
Hyundai Sonata,Année: 2015,40 000 F CFA,Yoff,Abdia ...
Mitsubishi Outlander,Année: 2015,35 000 F CFA,Yoff,A vos  services
Ford ESCAPE-SE,Année: 2016,35 000 F CFA,Grand-Yoff,Transcar via  Sénégal
Nissan Pathfinder,Année: 2016,40 000 F CFA,Ouakam,LOCA VOITURE  DAKAR
Hyundai Elantra,Année: 2016,25 000 F CFA,Yoff,MBD  VOITURE
Mercedes Classe,Année: 2016,100 000 F CFA,Mamelles,Start& Drive
Ford Fusion,Année: 2014,35 000 F CFA,Mermoz Sacré-Coeur,Originodesign  Market
Toyota Hilux,Année: 2012,40 000 F CFA,Hann Maristes,travelsencar ..
Mitsubishi RVR,Année: 2016,20 000 F CFA,Ouakam,LOCA VOITURE  DAKAR
Peugeot 5008,Année: 2017,3 F CFA,Parcelles Assainies,Rasta Gadio
Chevrolet Equinox,Année: 2016,30 000 F CFA,Cité Keur gorgui,Augustin  Ndiaye
Hyundai Santa,Année: 2016,25 000 F CFA,Sicap Foire,AMautomobile .
Toyota Rav,Année: 2016,30 000 F CFA,Yoff,A vos  services
Peugeot Partner,Année: 2016,25 000 F CFA,Ngor,J. M
Hyundai Tucson,Année: 2016,40 000 F CFA,Liberté 2,SEN  BAZAR
Kia Sorento,Année: 2016,40 000 F CFA,Yoff,Abdia ...
Kia Sportage,Année: 2016,30 000 F CFA,Yoff,A vos  services
Jeep GRAND-CHEROKEE-LIMITED,Année: 2020,100 000 F CFA,Sicap Liberté,Khardiata  LY
Hyundai Santa,Année: 2018,50 000 F CFA,Sicap Liberté,Khardiata  LY
Kia Sportage,Année: 2016,25 000 F CFA,Ngor,Alcine .
Hyundai Accent,125000 km,30 000 F CFA,Yoff,Penda NDIAYE
Nissan ROGUE,Année: 2016,35 000 F CFA,Parcelles Assainies,XLOC .
Ford ESCAPE-SE,Année: 2012,35 000 F CFA,Parcelles Assainies,XLOC .
Ford ESCAPE-SE,Année: 2016,35 000 F CFA,Almadies,ahmad .
Peugeot 308,Année: 2012,20 000 F CFA,Keur Massar,Lamine  Djitte
Citroen C3,Année: 2019,25 000 F CFA,Yoff,A vos  services
Ford Focus,Année: 2016,20 000 F CFA,Yoff,A vos  services
Toyota Avensis,Année: 2014,20 000 F CFA,Fass,Easy_Trip_ Sen
Ford ESCAPE-SE,Année: 2013,30 000 F CFA,Fass,Easy_Trip_ Sen
Ford Focus,Année: 2016,25 000 F CFA,Médina,SEN  BAZAR
Ford Escape-Titanium,Année: 2016,35 000 F CFA,VDN,MODOU  LO
Ford ESCAPE-SE,Année: 2014,30 000 F CFA,Plateau,Abibatou  Diop
Hyundai Sonata,Année: 2013,25 000 F CFA,VDN,MODOU  LO
Ford Fusion,Année: 2013,35 000 F CFA,Mermoz Sacré-Coeur,Originodesign  Market
Hyundai mini-bus-hyundai,Année: 2013,60 000 F CFA,Ouakam,SYLLA BUSINESS  GROUP
Ford ESCAPE-SE,Année: 2014,35 000 F CFA,Ouakam,SYLLA BUSINESS  GROUP
Mercedes ML,Année: 2016,60 000 F CFA,Yoff,A vos  services
Ford Explorer,Année: 2016,60 000 F CFA,Yoff,A vos  services
Toyota Hilux,Année: 2016,50 000 F CFA,Grand-Dakar,Bouly  DIEDHIOU
Toyota Hiace,Année: 2021,70 000 F CFA,Ouakam,SYLLA BUSINESS  GROUP
Hyundai Elantra,Année: 2013,30 000 F CFA,Nord Foire,Julie  Campara
Hyundai Tucson,Année: 2016,30 000 F CFA,Liberté 4,"Caroline ,"
Ford ESCAPE-SE,Année: 2016,40 000 F CFA,Yoff,Babacar ba  résidence
Peugeot 308,Année: 2012,25 000 F CFA,Mamelles,Auto business  Dakar
Toyota Hilux,Année: 2018,30 000 F CFA,Hann Bel-Air,PAPIEX .
Ford Edge,Année: 2014,30 000 F CFA,Médina,Cheikh .
Ford Fusion,Année: 2016,35 000 F CFA,Dieuppeul Derklé,Lendom  Zefff
Hyundai Elantra,Année: 2014,25 000 F CFA,Amitié,peezy .
Ford Flex-limited,Année: 2019,55 000 F CFA,Hann Maristes,DIOP .
Chevrolet Cruze,Année: 2016,25 000 F CFA,Almadies,Moustapha SAMBA
Hyundai Tucson,Année: 2015,35 000 F CFA,Liberté 2,SEN  BAZAR
Toyota Corolla,1 km,3 000 000 F CFA,Fann,KONTE  SERVICES
Hyundai Elantra,Année: 2014,30 000 F CFA,Fann,KONTE  SERVICES
Fiat Freemont,Année: 2015,50 000 F CFA,Guédiawaye,Fall .
Mercedes ML,Année: 2014,40 000 F CFA,Ouakam,LOCA VOITURE  DAKAR
Ford Edge,Année: 2014,40 000 F CFA,Ouakam,VPS  SERVICES
Ford Fiesta,Année: 2014,25 000 F CFA,Grand-Dakar,Feudze  Immo & services
Chrysler 200s,Année: 2017,35 000 F CFA,VDN,ahmed  cheikhouna
Kia Sportage,Année: 2016,30 000 F CFA,Dalifort,"Caroline ,"
Volkswagen Jetta,Année: 2014,20 000 F CFA,Yoff,A vos  services
Kia Sportage,Année: 2016,30 000 F CFA,Yoff,A vos  services
Kia Optima,Année: 2016,40 000 F CFA,Yoff,Abdia ...
Hyundai Starex-12-places,Année: 2013,60 000 F CFA,Ouakam,SYLLA BUSINESS  GROUP
Skoda fabia,Année: 2016,25 000 F CFA,Hlm,DAKAR MOTORS  PRO-SUARL
Hyundai Sonata,Année: 2016,25 000 F CFA,VDN,MODOU  LO
Toyota Hilux,Année: 2016,40 000 F CFA,Diamaguene Sicap Mbao,Cartel .
Nissan Pathfinder,Année: 2014,40 000 F CFA,Ouakam,LOCA VOITURE  DAKAR
Chrysler 200s,Année: 2015,30 000 F CFA,Fann,Jules  BADJI
Ford Fusion,Année: 2014,25 000 F CFA,Patte d'oie,Trade Company
Ford scape,Année: 2017,35 000 F CFA,VDN,Valer NDOUBA
Hyundai Tucson,Année: 2017,35 000 F CFA,VDN,Valer NDOUBA
Jeep Cherokee,Année: 2020,50 000 F CFA,Yoff,A vos  services
Kia K5,Année: 2016,1 F CFA,Yoff,A vos  services
Toyota Hilux,Année: 2014,50 000 F CFA,Bel Air,travelsencar ..
Ford Edge,Année: 2016,40 000 F CFA,Ouakam,VPS  SERVICES
Toyota Rav,Année: 2017,40 000 F CFA,Hlm,Taiba Immo  Services
Mitsubishi L200,Année: 2016,35 000 F CFA,Parcelles Assainies,Lamine  Fall
Ford Fusion,Année: 2016,40 000 F CFA,Yoff,Babacar ba  résidence
Hyundai Tucson,Année: 2016,35 000 F CFA,Liberté 2,Elhadj ben  abdallah
Ford Transit,Année: 2016,60 000 F CFA,Médina,Kena Impact  Groupes
Ford Fusion,Année: 2013,45 000 F CFA,Ouest Foire,Lamine Konare
Ford Fusion,Année: 2014,45 000 F CFA,Ouest Foire,Lamine Konare
Hyundai Sonata,Année: 2014,30 000 F CFA,Hann Maristes,"Babs Motos,  Scooters"
Ford Edge,Année: 2018,60 000 F CFA,Grand-Yoff,Atlantic  auto
Renault Camion-Frigo-meldium-220CDI,Année: 2010,50 000 F CFA,Parcelles Assainies,NAWANAM SUARL
Isuzu CAMIONNETTE,Année: 2010,35 000 F CFA,Parcelles Assainies,NAWANAM SUARL
Renault premium-270-dci-frigo,Année: 2010,70 000 F CFA,Parcelles Assainies,NAWANAM SUARL
Chevrolet Cruze,Année: 2013,25 000 F CFA,Sicap Sacré Coeur,Amadou  gaye
Hyundai Elantra,Année: 2015,30 000 F CFA,Médina,SEN  BAZAR
Hyundai Accent,Année: 2020,50 000 F CFA,Mbour,Yva Ndour
Ford Edge,Année: 2015,45 000 F CFA,Point-E,TECHZONE .
Renault Espace,Année: 2019,10 000 F CFA,Ouakam,Boutik Promo
Hyundai Atos,Année: 2019,30 000 F CFA,Liberté 6,Car Service Dakar
Ford ESCAPE-SE,Année: 2019,35 000 F CFA,Cité Keur gorgui,Madiba Auto rent
Kia Sorento,Année: 2020,40 000 F CFA,Yoff,Abdia ...
Ford Explorer,Année: 2019,60 000 F CFA,Yoff,A vos  services
Hyundai Elantra,Année: 2014,30 000 F CFA,Médina,SEN  BAZAR
Ford Fusion,Année: 2015,30 000 F CFA,Médina,SEN  BAZAR
Ford titanium,Année: 2020,40 000 F CFA,Médina,BS Auto
Ford Fusion,Année: 2020,35 000 F CFA,Biscuiterie,Evrad  Peter
Bmw Serie,Année: 2014,70 000 F CFA,Virage,Coulibaly  Mamadou
Kia Optima,Année: 2014,25 000 F CFA,Ouakam,Valer NDOUBA
Ford Fusion,1 km,30 000 F CFA,Point-E,TECHZONE .
Citroen Ds4,Année: 2014,30 000 F CFA,Guédiawaye,unicar UNICAR
Ford Minibus,Année: 2015,75 000 F CFA,Médina,Kena Impact  Groupes
Mitsubishi Asx,Année: 2014,40 000 F CFA,Ouest Foire,Rent Auto
Kia Sportage,Année: 2012,35 000 F CFA,Almadies,Moustapha SAMBA
Nissan ROGUE-SL-AWD,Année: 2015,35 000 F CFA,Thiès,AlfaBusinessGroup BARRY
